iter	Passed	Remaining
607	9985	22861
608	10000	22841
609	10016	22823
610	10031	22803
611	10047	22787
612	10059	22761
613	10075	22743
614	10091	22725
615	10105	22705
616	10114	22672
617	10134	22664
618	10150	22645
619	10166	22629
620	10182	22612
621	10201	22600
622	10216	22581
623	10227	22552
624	10243	22535
625	10261	22523
626	10280	22511
627	10302	22508
628	10318	22489
629	10328	22460
630	10340	22434
631	10354	22413
632	10364	22383
633	10379	22362
634	10389	22332
635	10407	22320
636	10417	22289
637	10426	22258
638	10436	22228
639	10445	22196
640	10466	22189
641	10482	22173
642	10497	22154
643	10508	22126
644	10523	22108
645	10539	22090
646	10553	22068
647	10568	22049
648	10583	22032
649	10598	22012
650	10618	22003
651	10633	21984
652	10651	21971
653	10668	21956
654	10685	21941
655	10700	21922
656	10713	21900
657	10726	21877
658	10741	21858
659	10757	21840
660	10773	21823
661	10790	21808
662	10808	21796
663	10825	21781
664	10841	21764
665	10856	21746
666	10876	21737
667	10888	21711
668	10902	21691
669	10917	21671
670	10931	21651
671	10945	21630
672	10960	21612
673	10974	21591
674	10992	21577
675	11013	21570
676	11028	21552
677	11044	21535
678	11070	21538
679	11086	21521
680	11104	21507
681	11118	21487
682	11133	21467
683	11148	21449
684	11166	21437
685	11181	21417
686	11196	21399
687	11206	21371
688	11222	21354
689	11237	21335
690	11252	21315
691	11266	21295
692	11280	21275
693	11294	21255
694	11310	21237
695	11324	21217
696	11339	21198
697	11354	21179
698	11368	21160
699	11383	21141
700	11400	21126
701	11416	21109
702	11432	21092
703	11451	21080
704	11466	21061
705	11481	21043
706	11521	21070
707	11533	21046
708	11558	21046
709	11573	21028
710	11594	21021
711	11610	21003
712	11633	20998
713	11648	20980
714	11665	20965
715	11681	20947
716	11702	20940
717	11717	20922
718	11738	20913
719	11753	20895
720	11769	20877
721	11788	20867
722	11808	20857
723	11822	20836
724	11834	20811
725	11860	20812
726	11878	20799
727	11893	20780
728	11902	20752
729	11918	20735
730	11941	20729
731	11951	20703
732	11969	20689
733	11982	20667
734	12001	20655
735	12016	20637
736	12032	20619
737	12047	20601
738	12073	20602
739	12090	20585
740	12105	20567
741	12115	20540
742	12146	20550
743	12165	20538
744	12181	20520
745	12196	20502
746	12215	20489
747	12238	20485
748	12254	20467
749	12270	20450
750	12288	20437
751	12303	20419
752	12319	20401
753	12334	20382
754	12357	20377
755	12372	20358
756	12387	20339
757	12402	20321
758	12422	20311
759	12438	20294
760	12456	20281
761	12472	20263
762	12486	20243
763	12501	20225
764	12518	20210
765	12533	20191
766	12549	20173
767	12567	20160
768	12587	20149
769	12609	20142
770	12627	20128
771	12646	20116
772	12666	20106
773	12684	20091
774	12697	20070
775	12720	20064
776	12739	20052
777	12750	20026
778	12766	20009
779	12784	19995
780	12802	19983
781	12843	20004
782	12878	20016
783	12909	20022
784	12923	20001
785	12941	19988
786	12963	19980
787	12984	19970
788	13021	19986
789	13057	19999
790	13084	19999
791	13109	19994
792	13137	19996
793	13160	19989
794	13177	19973
795	13193	19956
796	13215	19947
797	13227	19924
798	13255	19925
799	13276	19914
800	13294	19899
801	13310	19882
802	13331	19873
803	13347	19855
804	13370	19847
805	13387	19831
806	13402	19813
807	13418	19795
808	13432	19775
809	13446	19754
810	13459	19732
811	13475	19715
812	13496	19705
813	13514	19690
814	13529	19672
815	13543	19651
816	13558	19632
817	13572	19611
818	13587	19592
819	13604	19576
820	13619	19557
821	13633	19538
822	13649	19520
823	13671	19511
824	13687	19494
825	13702	19474
826	13717	19455
827	13738	19446
828	13756	19431
829	13772	19414
830	13792	19401
831	13806	19382
832	13831	19377
833	13846	19358
834	13862	19341
835	13878	19323
836	13894	19306
837	13910	19288
838	13930	19276
839	13939	19249
840	13952	19228
841	13967	19210
842	13978	19185
843	13993	19167
844	14002	19140
845	14013	19114
846	14022	19088
847	14037	19069
848	14055	19054
849	14076	19044
850	14177	19141
851	14193	19124
852	14208	19106
853	14225	19089
854	14241	19071
855	14254	19050
856	14275	19039
857	14291	19022
858	14305	19001
859	14324	18988
860	14333	18962
861	14348	18943
862	14363	18924
863	14381	18909
864	14397	18891
865	14413	18873
866	14428	18855
867	14442	18835
868	14457	18815
869	14474	18800
870	14489	18781
871	14501	18759
872	14525	18752
873	14542	18735
874	14557	18716
875	14572	18698
876	14586	18677
877	14601	18658
878	14621	18647
879	14646	18640
880	14661	18622
881	14676	18604
882	14688	18581
883	14704	18563
884	14720	18545
885	14738	18530
886	14749	18507
887	14766	18491
888	14780	18471
889	14793	18450
890	14807	18430
891	14824	18414
892	14840	18396
893	14854	18376
894	14869	18358
895	14884	18339
896	14899	18321
897	14923	18313
898	14942	18300
899	14959	18283
900	14973	18263
901	14988	18245
902	14998	18220
903	15007	18194
904	15017	18170
905	15033	18153
906	15050	18136
907	15059	18111
908	15075	18093
909	15087	18071
910	15100	18050
911	15113	18030
912	15130	18014
913	15146	17997
914	15157	17974
915	15170	17953
916	15183	17932
917	15200	17916
918	15218	17901
919	15234	17883
920	15250	17867
921	15282	17868
922	15306	17860
923	15334	17856
924	15349	17838
925	15366	17822
926	15383	17806
927	15403	17793
928	15416	17773
929	15435	17758
930	15452	17742
931	15466	17722
932	15479	17703
933	15488	17677
934	15506	17662
935	15516	17638
936	15531	17620
937	15547	17602
938	15562	17584
939	15577	17566
940	15592	17547
941	15606	17527
942	15626	17515
943	15643	17499
944	15659	17482
945	15674	17464
946	15690	17446
947	15703	17426
948	15718	17407
949	15729	17385
950	15744	17367
951	15760	17349
952	15776	17332
953	15792	17315
954	15802	17291
955	15819	17275
956	15834	17257
957	15851	17241
958	15867	17224
959	15882	17206
960	15908	17200
961	15918	17175
962	15932	17157
963	15950	17141
964	15962	17120
965	15973	17098
966	15984	17075
967	16002	17060
968	16016	17041
969	16029	17020
970	16039	16997
971	16049	16974
972	16073	16965
973	16087	16946
974	16105	16931
975	16118	16911
976	16136	16896
977	16147	16874
978	16163	16857
979	16178	16838
980	16193	16820
981	16211	16805
982	16221	16782
983	16235	16763
984	16249	16744
985	16263	16725
986	16273	16702
987	16287	16682
988	16301	16664
989	16316	16645
990	16330	16626
991	16350	16614
992	16363	16594
993	16377	16575
994	16392	16557
995	16407	16538
996	16421	16519
997	16433	16499
998	16447	16480
999	16463	16463
1000	16482	16449
1001	16496	16430
1002	16510	16411
1003	16522	16390
1004	16535	16370
1005	16546	16349
1006	16561	16331
1007	16575	16312
1008	16589	16293
1009	16607	16278
1010	16621	16260
1011	16634	16240
1012	16649	16222
1013	16662	16202
1014	16677	16184
1015	16689	16164
1016	16703	16145
1017	16722	16130
1018	16738	16114
1019	16760	16103
1020	16775	16085
1021	16787	16064
1022	16797	16042
1023	16827	16038
1024	16842	16020
1025	16862	16007
1026	16876	15989
1027	16890	15970
1028	16899	15946
1029	16918	15933
1030	16935	15916
1031	16953	15902
1032	16968	15884
1033	16988	15871
1034	17006	15855
1035	17023	15840
1036	17038	15822
1037	17052	15804
1038	17069	15788
1039	17084	15769
1040	17096	15749
1041	17110	15730
1042	17125	15713
1043	17141	15696
1044	17167	15689
1045	17179	15668
1046	17193	15649
1047	17207	15631
1048	17224	15615
1049	17236	15594
1050	17247	15573
1051	17258	15552
1052	17272	15533
1053	17286	15515
1054	17302	15498
1055	17317	15480
1056	17333	15463
1057	17343	15441
1058	17369	15434
1059	17384	15416
1060	17399	15399
1061	17425	15391
1062	17443	15375
1063	17460	15359
1064	17475	15342
1065	17493	15327
1066	17510	15311
1067	17525	15294
1068	17544	15279
1069	17564	15266
1070	17581	15250
1071	17595	15232
1072	17609	15213
1073	17622	15194
1074	17636	15175
1075	17656	15162
1076	17671	15144
1077	17684	15125
1078	17698	15106
1079	17712	15088
1080	17725	15069
1081	17750	15059
1082	17765	15042
1083	17780	15024
1084	17796	15008
1085	17810	14989
1086	17822	14969
1087	17836	14951
1088	17851	14933
1089	17866	14916
1090	17881	14898
1091	17898	14882
1092	17914	14866
1093	17930	14849
1094	17944	14831
1095	17961	14814
1096	17974	14795
1097	17989	14778
1098	18000	14757
1099	18015	14739
1100	18030	14722
1101	18046	14705
1102	18057	14684
1103	18071	14667
1104	18084	14647
1105	18095	14627
1106	18116	14614
1107	18130	14596
1108	18145	14578
1109	18164	14564
1110	18177	14545
1111	18192	14527
1112	18207	14510
1113	18217	14488
1114	18232	14471
1115	18256	14461
1116	18272	14444
1117	18287	14426
1118	18303	14410
1119	18329	14401
1120	18341	14382
1121	18352	14361
1122	18366	14343
1123	18378	14323
1124	18392	14305
1125	18407	14287
1126	18422	14270
1127	18431	14248
1128	18449	14233
1129	18474	14223
1130	18485	14203
1131	18505	14190
1132	18519	14171
1133	18538	14157
1134	18552	14139
1135	18567	14121
1136	18582	14104
1137	18595	14085
1138	18606	14065
1139	18616	14043
1140	18630	14026
1141	18641	14005
1142	18651	13984
1143	18662	13964
1144	18677	13946
1145	18692	13929
1146	18702	13908
1147	18712	13887
1148	18727	13870
1149	18745	13855
1150	18761	13839
1151	18776	13821
1152	18793	13805
1153	18811	13790
1154	18833	13778
1155	18846	13759
1156	18861	13742
1157	18874	13723
1158	18890	13707
1159	18901	13687
1160	18911	13666
1161	18925	13648
1162	18942	13632
1163	18957	13615
1164	18972	13598
1165	18982	13577
1166	18999	13561
1167	19015	13545
1168	19043	13537
1169	19061	13522
1170	19078	13506
1171	19092	13488
1172	19105	13470
1173	19121	13453
1174	19135	13435
1175	19149	13417
1176	19163	13399
1177	19181	13384
1178	19194	13365
1179	19213	13351
1180	19224	13332
1181	19238	13314
1182	19253	13296
1183	19267	13278
1184	19277	13258
1185	19293	13241
1186	19308	13224
1187	19327	13210
1188	19339	13191
1189	19354	13174
1190	19369	13157
1191	19383	13138
1192	19392	13118
1193	19409	13102
1194	19425	13086
1195	19442	13070
1196	19461	13055
1197	19473	13036
1198	19486	13018
1199	19518	13012
1200	19533	12995
1201	19542	12974
1202	19557	12956
1203	19573	12940
1204	19585	12921
1205	19595	12900
1206	19611	12884
1207	19621	12864
1208	19638	12848
1209	19659	12835
1210	19672	12816
1211	19686	12799
1212	19697	12780
1213	19715	12764
1214	19728	12746
1215	19748	12732
1216	19767	12718
1217	19776	12697
1218	19797	12684
1219	19810	12666
1220	19826	12649
1221	19835	12628
1222	19850	12611
1223	19866	12594
1224	19876	12574
1225	19888	12556
1226	19903	12538
1227	19915	12520
1228	19930	12503
1229	19945	12486
1230	19961	12469
1231	19971	12449
1232	19987	12433
1233	20007	12419
1234	20020	12401
1235	20031	12381
1236	20041	12362
1237	20051	12341
1238	20061	12321
1239	20070	12301
1240	20080	12281
1241	20096	12265
1242	20109	12246
1243	20118	12226
1244	20128	12206
1245	20137	12185
1246	20148	12166
1247	20161	12148
1248	20175	12131
1249	20191	12114
1250	20210	12100
