iter	Passed	Remaining
596	2006	1354
597	2009	1350
598	2013	1347
599	2016	1344
600	2019	1341
601	2023	1337
602	2027	1334
603	2030	1331
604	2033	1327
605	2037	1324
606	2041	1321
607	2045	1318
608	2050	1316
609	2053	1312
610	2056	1309
611	2059	1305
612	2062	1301
613	2066	1299
614	2069	1295
615	2072	1292
616	2076	1288
617	2079	1285
618	2082	1281
619	2085	1278
620	2088	1274
621	2091	1271
622	2095	1267
623	2098	1264
624	2102	1261
625	2106	1258
626	2109	1254
627	2112	1251
628	2116	1248
629	2119	1244
630	2122	1241
631	2125	1237
632	2130	1235
633	2133	1231
634	2136	1228
635	2139	1224
636	2143	1221
637	2147	1218
638	2151	1215
639	2154	1212
640	2158	1208
641	2162	1205
642	2165	1202
643	2168	1198
644	2172	1195
645	2176	1192
646	2179	1189
647	2182	1185
648	2185	1182
649	2189	1178
650	2192	1175
651	2196	1172
652	2199	1168
653	2202	1165
654	2205	1161
655	2209	1158
656	2213	1155
657	2217	1152
658	2220	1149
659	2223	1145
660	2227	1142
661	2230	1138
662	2233	1135
663	2236	1131
664	2239	1128
665	2243	1125
666	2247	1121
667	2250	1118
668	2253	1115
669	2257	1111
670	2260	1108
671	2264	1105
672	2267	1101
673	2271	1098
674	2274	1095
675	2278	1091
676	2281	1088
677	2283	1084
678	2286	1081
679	2291	1078
680	2294	1074
681	2297	1071
682	2300	1067
683	2303	1064
684	2308	1061
685	2311	1057
686	2314	1054
687	2318	1051
688	2321	1047
689	2324	1044
690	2328	1041
691	2331	1037
692	2334	1034
693	2337	1030
694	2341	1027
695	2344	1024
696	2347	1020
697	2351	1017
698	2356	1014
699	2359	1011
700	2363	1007
701	2366	1004
702	2370	1001
703	2373	997
704	2376	994
705	2379	991
706	2383	987
707	2386	984
708	2390	980
709	2393	977
710	2397	974
711	2400	971
712	2403	967
713	2407	964
714	2411	961
715	2414	957
716	2417	954
717	2421	951
718	2424	947
719	2427	944
720	2430	940
721	2433	937
722	2437	933
723	2440	930
724	2443	926
725	2446	923
726	2450	920
727	2453	916
728	2457	913
729	2460	910
730	2463	906
731	2467	903
732	2476	901
733	2479	898
734	2482	894
735	2486	891
736	2489	888
737	2492	884
738	2495	881
739	2498	877
740	2501	874
741	2505	871
742	2508	867
743	2511	864
744	2514	860
745	2518	857
746	2522	854
747	2526	851
748	2529	847
749	2535	845
750	2538	841
751	2542	838
752	2546	835
753	2551	832
754	2555	829
755	2558	825
756	2561	822
757	2566	819
758	2570	816
759	2573	812
760	2577	809
761	2581	806
762	2585	803
763	2589	799
764	2592	796
765	2596	793
766	2600	789
767	2603	786
768	2606	783
769	2610	779
770	2614	776
771	2617	772
772	2620	769
773	2624	766
774	2627	762
775	2631	759
776	2634	756
777	2637	752
778	2640	749
779	2643	745
780	2647	742
781	2650	738
782	2653	735
783	2657	732
784	2660	728
785	2663	725
786	2666	721
787	2670	718
788	2674	715
789	2678	712
790	2681	708
791	2685	705
792	2688	701
793	2691	698
794	2695	694
795	2698	691
796	2702	688
797	2706	685
798	2710	681
799	2714	678
800	2717	675
801	2720	671
802	2724	668
803	2727	664
804	2730	661
805	2733	658
806	2737	654
807	2740	651
808	2744	647
809	2747	644
810	2750	640
811	2753	637
812	2756	634
813	2760	630
814	2763	627
815	2766	623
816	2769	620
817	2772	616
818	2777	613
819	2780	610
820	2783	606
821	2786	603
822	2790	600
823	2793	596
824	2796	593
825	2799	589
826	2802	586
827	2807	583
828	2810	579
829	2813	576
830	2816	572
831	2819	569
832	2823	566
833	2826	562
834	2830	559
835	2833	555
836	2837	552
837	2840	549
838	2843	545
839	2846	542
840	2849	538
841	2853	535
842	2856	532
843	2859	528
844	2862	525
845	2865	521
846	2869	518
847	2873	514
848	2876	511
849	2879	508
850	2883	504
851	2887	501
852	2891	498
853	2894	494
854	2897	491
855	2900	487
856	2904	484
857	2907	481
858	2910	477
859	2913	474
860	2917	470
861	2920	467
862	2924	464
863	2927	460
864	2930	457
865	2934	454
866	2937	450
867	2940	447
868	2944	443
869	2947	440
870	2951	437
871	2954	433
872	2958	430
873	2961	426
874	2964	423
875	2967	420
876	2970	416
877	2974	413
878	2977	409
879	2980	406
880	2983	403
881	2987	399
882	2991	396
883	2994	392
884	2997	389
